ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
JohnsNe02 ,1954,Neil,Johnston,east,N,1,15,3.0,nan,nan,6.0,1.0,nan,nan,nan,nan,7.0,1.0,1.0,1.0,nan,nan
JohnsNe02 ,1953,Neil,Johnston,east,N,1,20,6.0,nan,nan,7.0,2.0,nan,nan,nan,nan,9.0,2.0,4.0,2.0,nan,nan
JohnsNe02 ,1952,Neil,Johnston,east,N,1,27,11.0,nan,nan,12.0,0.0,nan,nan,nan,nan,13.0,5.0,2.0,1.0,nan,nan
JohnsSt03 ,1972,Stew,Johnson,west,A,1,11,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
JohnsSt03 ,1973,Stew,Johnson,west,A,1,22,8.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,9.0,3.0,2.0,2.0,2.0,0.0
JohnsSt03 ,1974,Stew,Johnson,east,A,1,14,8.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,11.0,4.0,0.0,0.0,1.0,0.0
JonesBo01 ,1977,Bobby,Jones,west,N,1,18,2.0,nan,nan,6.0,2.0,nan,nan,nan,nan,3.0,1.0,0.0,0.0,nan,nan
JonesBo01 ,1976,Bobby,Jones,west,N,1,14,2.0,nan,nan,0.0,3.0,nan,nan,nan,nan,4.0,1.0,0.0,0.0,nan,nan
JonesBo01 ,1981,Bobby,Jones,east,N,1,16,11.0,nan,nan,4.0,0.0,nan,nan,nan,nan,11.0,5.0,1.0,1.0,nan,nan
JonesBo01 ,1980,Bobby,Jones,east,N,1,16,11.0,nan,nan,4.0,0.0,nan,nan,nan,nan,11.0,5.0,1.0,1.0,nan,nan
JonesBo01 ,1975,Bobby,Jones,Denver,A,1,29,24.0,nan,nan,10.0,3.0,nan,nan,nan,2.0,12.0,8.0,11.0,8.0,0.0,0.0
JonesCa01 ,1974,Caldwell,Jones,west,A,1,15,5.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0
JonesEd01 ,1999,Eddie,Jones,east,N,1,21,10.0,3.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,3.0,2.0
JonesEd01 ,1997,Eddie,Jones,west,N,1,25,15.0,4.0,7.0,11.0,1.0,2.0,0.0,0.0,1.0,19.0,7.0,2.0,1.0,7.0,0.0
JonesEd01 ,1996,Eddie,Jones,west,N,1,17,10.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,7.0,4.0,1.0,0.0
JonesJi01 ,1967,Jimmy,Jones,west,A,1,19,10.0,0.0,1.0,1.0,3.0,nan,nan,2.0,1.0,9.0,4.0,4.0,2.0,0.0,0.0
JonesJi01 ,1968,Jimmy,Jones,west,A,1,18,14.0,0.0,1.0,1.0,2.0,nan,nan,0.0,1.0,11.0,4.0,6.0,6.0,0.0,0.0
JonesJi01 ,1969,Jimmy,Jones,west,A,1,14,0.0,nan,nan,3.0,0.0,nan,nan,nan,1.0,3.0,0.0,0.0,0.0,2.0,0.0
JonesJi01 ,1970,Jimmy,Jones,west,A,1,27,13.0,0.0,0.0,0.0,4.0,nan,nan,1.0,5.0,5.0,3.0,9.0,7.0,1.0,0.0
JonesJi01 ,1972,Jimmy,Jones,west,A,1,36,14.0,4.0,1.0,5.0,4.0,1.0,0.0,4.0,2.0,10.0,6.0,2.0,2.0,2.0,0.0
JonesJi01 ,1973,Jimmy,Jones,west,A,1,25,11.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,4.0,5.0,3.0,0.0,0.0
