player_name,ppg,rpg,apg,outlier_score,outlier_iso,outlier_z,outlier_stat
Connie Hawkins,28.162393162393162,12.64102564102564,4.3076923076923075,3,1,1,1
Elvin Hayes,20.961627014581733,12.493476592478896,1.8403683806600153,3,1,1,1
Brendan Haywood,6.909722222222222,5.475694444444445,0.5486111111111112,2,0,1,1
Spencer Haywood,29.988095238095237,19.488095238095237,2.261904761904762,3,1,1,1
Grant Hill,20.80327868852459,7.451730418943534,5.739526411657559,3,1,1,1
Kirk Hinrich,13.862745098039216,3.679738562091503,6.607843137254902,3,1,1,1
Roy Hinson,14.21301775147929,6.808678500986193,0.9763313609467456,3,1,1,1
Wilbur Holland,13.623188405797102,3.050724637681159,3.3405797101449277,2,0,1,1
Jeff Hornacek,14.539461467038068,3.3853296193129063,4.903435468895079,3,1,1,1
Dwight Howard,11.963414634146341,10.036585365853659,0.9146341463414634,3,1,1,1
Juwan Howard,17.16182048040455,7.275600505689002,2.8786346396965867,3,1,1,1
Kim Hughes,8.238095238095237,9.226190476190476,0.6547619047619048,3,1,1,1
Andre Iguodala,9.036585365853659,5.658536585365853,3.0,3,1,1,1
Zydrunas Ilgauskas,14.849878934624698,7.738498789346247,1.208232445520581,3,1,1,1
Dan Issel,25.646,10.852,2.206,3,1,1,1
Allen Iverson,27.439344262295084,4.055737704918033,5.972131147540984,3,1,1,1
Jim Jackson,14.874556213017751,4.823668639053254,3.3325443786982247,3,1,1,1
Mark Jackson,9.636574074074074,3.8294753086419755,7.965277777777778,3,1,1,1
Ralph Jackson,2.0,1.0,4.0,3,1,1,1
LeBron James,24.08176100628931,6.415094339622642,6.553459119496855,3,1,1,1
Dennis Johnson,14.122727272727273,3.862727272727273,4.999090909090909,3,1,1,1
Eddie Johnson,16.015012510425354,4.030025020850709,2.126772310258549,3,1,1,1
